Accident;Development;Value
1997.01.01;1997.01.01;4426764.786
1997.01.01;1998.01.01;992329.57
1997.01.01;1999.01.01;88951.97806
1997.01.01;2000.01.01;13240.37186
1997.01.01;2001.01.01;38621.50882
1997.01.01;2002.01.01;26720.37812
1997.01.01;2003.01.01;36818.03808
1997.01.01;2004.01.01;10750.13221
1998.01.01;1998.01.01;4388958.408
1998.01.01;1999.01.01;984169.3307
1998.01.01;2000.01.01;60161.73914
1998.01.01;2001.01.01;35004.17713
1998.01.01;2002.01.01;75767.78208
1998.01.01;2003.01.01;23890.01609
1998.01.01;2004.01.01;572.0108837
1999.01.01;1999.01.01;5280130.25
1999.01.01;2000.01.01;1239396.19
1999.01.01;2001.01.01;76122.45858
1999.01.01;2002.01.01;110189.3384
1999.01.01;2003.01.01;112894.8254
1999.01.01;2004.01.01;11750.76577
2000.01.01;2000.01.01;5445384.037
2000.01.01;2001.01.01;1164233.654
2000.01.01;2002.01.01;171582.8512
2000.01.01;2003.01.01;16426.83287
2000.01.01;2004.01.01;6451.273874
2001.01.01;2001.01.01;5612137.899
2001.01.01;2002.01.01;1837950.37
2001.01.01;2003.01.01;155862.9331
2001.01.01;2004.01.01;127146.4729
2002.01.01;2002.01.01;6593299.049
2002.01.01;2003.01.01;1592418.03
2002.01.01;2004.01.01;74189.35591
2003.01.01;2003.01.01;6603090.84
2003.01.01;2004.01.01;1659747.752
2004.01.01;2004.01.01;7194586.604
